name,category,lat,lng,address,phone,place_url,keywords
성산일출봉,자연,33.4583,126.9422,제주특별자치도 서귀포시 성산읍 일출로 284-12,064-783-0959,https://place.map.kakao.com/8137444,"일출,오름,경관,자연,아침,조망,등산,일출봉"
한라산,자연,33.3617,126.5292,제주특별자치도 제주시 1100로 2070-61,064-713-9950,https://place.map.kakao.com/8153574,"등산,트레킹,자연,경관,산,정상,한라,백록담,등반"
협재해수욕장,자연,33.3943,126.2397,제주특별자치도 제주시 한림읍 협재리 2497,064-796-2404,https://place.map.kakao.com/8143842,"해변,바다,해수욕,백사장,물놀이,여름,협재,비양도,에메랄드"
만장굴,자연,33.5287,126.7718,제주특별자치도 제주시 구좌읍 만장굴길 182,064-710-7903,https://place.map.kakao.com/8152398,"동굴,자연,세계유산,용암동굴,만장,신비,탐험"
천지연폭포,자연,33.2462,126.5619,제주특별자치도 서귀포시 천지동 667-7,064-760-6831,https://place.map.kakao.com/8162388,"폭포,자연,경관,산책,계곡,천지연,야경,조명"
섭지코지,자연,33.4280,126.9294,제주특별자치도 서귀포시 성산읍 고성리 127,064-782-2810,https://place.map.kakao.com/8130741,"해안,경관,산책,자연,섭지코지,일출,드라이브,사진,인생샷"
제주흑돼지거리,맛집,33.4960,126.5311,제주특별자치도 제주시 연동 324-7,,https://place.map.kakao.com/8110001,"흑돼지,고기,구이,맛집,저녁,고깃집,돼지고기,삼겹살,제주고기"
도두해녀의집,맛집,33.5215,126.4681,제주특별자치도 제주시 도두1동 도두항길 16,064-745-4080,https://place.map.kakao.com/8120002,"해녀,해산물,전복,회,맛집,바다,성게,소라,신선한해산물"
올레국수,맛집,33.5018,126.5208,제주특별자치도 제주시 삼도2동 서광로11길 40,064-742-7355,https://place.map.kakao.com/8120003,"국수,면,점심,고기국수,제주국수,간단식사,면요리"
제주은희네해장국,맛집,33.4998,126.5201,제주특별자치도 제주시 일도2동 중앙로 479,064-757-3393,https://place.map.kakao.com/8120004,"해장국,국밥,점심,아침,해장,따뜻한국물,속풀이"
흑돼지명가,맛집,33.2575,126.4073,제주특별자치도 서귀포시 중앙로 40,064-762-0900,https://place.map.kakao.com/8130005,"흑돼지,고기,구이,맛집,저녁,서귀포,고깃집,삼겹살"
서귀포매일올레시장,맛집,33.2513,126.5584,제주특별자치도 서귀포시 서귀동 340,064-762-1949,https://place.map.kakao.com/8130006,"시장,전통시장,분식,먹거리,올레시장,길거리음식,간식,다양한음식"
애월한담해변카페,맛집,33.4671,126.3225,제주특별자치도 제주시 애월읍 애월해안로 870,064-799-3500,https://place.map.kakao.com/8140008,"카페,해변,오션뷰,바다,커피,디저트,애월,한담,뷰맛집"
제주민속촌,문화,33.3692,126.8437,제주특별자치도 서귀포시 표선면 민속해안로 631-34,064-787-4501,https://place.map.kakao.com/8160001,"민속,문화,전통,체험,역사,제주문화,옛집,한옥"
국립제주박물관,문화,33.4998,126.4862,제주특별자치도 제주시 일주동로 17,064-720-8000,https://place.map.kakao.com/8160002,"박물관,문화,전시,역사,교육,실내,유물,국립"
제주돌문화공원,문화,33.4558,126.7447,제주특별자치도 제주시 조천읍 남조로 2023,064-710-7731,https://place.map.kakao.com/8160003,"돌,문화,공원,산책,자연,돌하르방,제주돌,야외"
사려니숲길,자연,33.3814,126.6427,제주특별자치도 제주시 조천읍 교래리 산 137-1,064-900-8800,https://place.map.kakao.com/8150007,"숲길,산책,힐링,자연,트레킹,삼림욕,조용한,치유,피톤치드"
비자림,자연,33.4736,126.8028,제주특별자치도 제주시 구좌읍 비자숲길 55,064-710-7912,https://place.map.kakao.com/8150008,"비자나무,숲,산책,자연,힐링,삼림욕,고즈넉한,조용한"
카멜리아힐,자연,33.2827,126.3401,제주특별자치도 서귀포시 안덕면 병악로 166,064-792-0088,https://place.map.kakao.com/8150010,"동백,꽃,정원,산책,사진,예쁜,카멜리아,포토스팟,꽃구경"
테디베어뮤지엄,문화,33.2527,126.4109,제주특별자치도 서귀포시 중문관광로 110번길 31,064-738-7600,https://place.map.kakao.com/8160012,"테디베어,박물관,귀여운,아이,가족,실내,중문,사진,인형"
